quad-ridged horn antenna locations,,,,,,,,,,
ant,"X (in)","Y (in)","Z (in)","horiz rad (in)","az center (deg)","aperture az (deg)","aperture el (deg)",,,
1,40.438,-36.958,147.227,54.782,-42.425,-45.012,-9.637,,,
2,57.134,3.109,146.476,57.218,3.115,-0.588,-10.108,,,
3,40.549,43.106,145.871,59.181,46.751,45.694,-11.245,,,
4,0.624,59.688,145.361,59.691,89.401,90.310,-11.291,,,
5,-39.455,43.147,145.928,58.467,132.441,135.161,-10.988,,,
6,-56.096,3.177,146.894,56.186,176.758,179.861,-9.491,,,
7,-39.355,-36.753,147.757,53.848,-136.959,-134.930,-9.027,,,
8,0.645,-53.539,147.876,53.543,-89.310,-90.638,-8.743,,,
9,19.554,-43.890,109.531,48.049,-65.986,-67.412,-9.445,,,
10,46.600,-16.625,108.889,49.477,-19.634,-23.005,-10.061,,,
11,46.587,21.659,108.220,51.375,24.934,22.503,-10.772,,,
12,19.476,48.539,107.671,52.300,68.137,67.722,-11.484,,,
13,-18.798,48.502,107.852,52.017,111.185,112.614,-11.122,,,
14,-45.899,21.424,108.516,50.653,154.978,157.685,-10.376,,,
15,-45.895,-16.821,109.354,48.881,-159.872,-156.639,-9.410,,,
16,-18.691,-43.864,109.843,47.680,-113.079,-112.587,-9.039,,,
17,38.636,-93.988,2.636,101.619,-67.654,-67.365,-8.233,,,
18,71.690,-72.108,1.953,101.681,-45.166,-45.135,-8.807,,,
19,93.897,-39.211,0.498,101.756,-22.665,-23.002,-9.120,,,
20,101.790,-0.212,-0.661,101.790,-0.119,-1.013,-10.352,,,
21,94.047,38.773,-1.788,101.726,22.405,21.934,-10.889,,,
22,72.080,71.816,-2.223,101.750,44.895,44.467,-11.315,,,
23,39.065,93.999,-2.561,101.793,67.433,67.288,-11.402,,,
24,0.121,101.815,-2.314,101.815,89.932,89.971,-11.379,,,
25,-38.815,94.002,-2.034,101.700,112.437,112.390,-10.842,,,
26,-71.809,71.912,-1.102,101.626,134.959,134.988,-10.725,,,
27,-93.886,39.000,-0.673,101.664,157.442,157.387,-10.143,,,
28,-101.885,0.048,0.102,101.885,179.973,179.843,-10.067,,,
29,-94.017,-38.841,0.865,101.724,-157.553,-157.444,-9.503,,,
30,-72.079,-71.902,1.864,101.810,-135.071,-134.877,-9.021,,,
31,-39.152,-93.935,2.464,101.768,-112.626,-112.406,-8.453,,,
32,-0.290,-101.771,2.991,101.772,-90.163,-90.081,-8.268,,,
33,32.625,-82.045,-71.140,88.294,-68.315,-67.997,-8.007,,,
34,79.071,-35.639,-72.809,86.731,-24.262,-22.948,-9.817,,,
35,79.172,30.988,-74.893,85.020,21.376,22.382,-10.259,,,
36,32.608,77.414,-75.342,84.001,67.158,67.583,-11.648,,,
37,-33.398,78.088,-74.957,84.931,113.156,112.844,-10.271,,,
38,-79.367,31.568,-73.922,85.415,158.310,157.761,-10.015,,,
39,-78.900,-34.192,-72.645,85.990,-156.570,-157.896,-10.889,,,
40,-33.046,-81.696,-70.907,88.127,-112.023,-112.791,-7.314,,,
41,-33.046,-81.696,-70.907,88.127,-112.023,-112.791,-7.314,,,
42,-33.046,-81.696,-70.907,88.127,-112.023,-112.791,-7.314,,,
43,-33.046,-81.696,-70.907,88.127,-112.023,-112.791,-7.314,,,
44,-33.046,-81.696,-70.907,88.127,-112.023,-112.791,-7.314,,,
45,-33.046,-81.696,-70.907,88.127,-112.023,-112.791,-7.314,,,
46,-33.046,-81.696,-70.907,88.127,-112.023,-112.791,-7.314,,,
47,-33.046,-81.696,-70.907,88.127,-112.023,-112.791,-7.314,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,